"Titre de tracé : expe_inrae4"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 20254784, SEN S/N: 20254784)","Intensité, Lux (LGR S/N: 20254784, SEN S/N: 20254784)","Coupleur attaché (LGR S/N: 20254784)","Coupleur détaché (LGR S/N: 20254784)","Hôte connecté (LGR S/N: 20254784)","Arrêté (LGR S/N: 20254784)","Fin de fichier (LGR S/N: 20254784)"
199,07/17/24 03:00:00 AM,19.758,0.0,,,,,
200,07/17/24 04:00:00 AM,19.187,0.0,,,,,
201,07/17/24 05:00:00 AM,18.616,0.0,,,,,
202,07/17/24 06:00:00 AM,17.284,75.3,,,,,
203,07/17/24 07:00:00 AM,16.713,1194.8,,,,,
204,07/17/24 08:00:00 AM,17.094,2066.7,,,,,
205,07/17/24 09:00:00 AM,18.140,3444.5,,,,,
206,07/17/24 10:00:00 AM,20.424,19289.0,,,,,
207,07/17/24 11:00:00 AM,36.837,226.0,,,,,
208,07/17/24 12:00:00 PM,43.601,55111.5,,,,,
209,07/17/24 01:00:00 PM,36.946,38578.0,,,,,
210,07/17/24 02:00:00 PM,45.956,27555.7,,,,,
211,07/17/24 03:00:00 PM,45.703,49600.3,,,,,
212,07/17/24 04:00:00 PM,50.456,57867.0,,,,,
213,07/17/24 05:00:00 PM,48.421,39955.8,,,,,
214,07/17/24 06:00:00 PM,41.928,11022.3,,,,,
215,07/17/24 07:00:00 PM,39.389,7577.8,,,,,
216,07/17/24 08:00:00 PM,31.166,1054.9,,,,,
217,07/17/24 09:00:00 PM,27.764,301.4,,,,,
218,07/17/24 10:00:00 PM,25.028,0.0,,,,,
219,07/17/24 11:00:00 PM,23.292,0.0,,,,,
220,07/18/24 12:00:00 AM,21.951,0.0,,,,,
221,07/18/24 01:00:00 AM,20.805,0.0,,,,,
222,07/18/24 02:00:00 AM,19.853,0.0,,,,,
223,07/18/24 03:00:00 AM,18.901,0.0,,,,,
224,07/18/24 04:00:00 AM,18.140,0.0,,,,,
225,07/18/24 05:00:00 AM,17.379,0.0,,,,,
226,07/18/24 06:00:00 AM,16.713,32.3,,,,,
227,07/18/24 07:00:00 AM,16.523,355.2,,,,,
228,07/18/24 08:00:00 AM,16.999,635.1,,,,,
229,07/18/24 09:00:00 AM,17.855,1054.9,,,,,
230,07/18/24 10:00:00 AM,19.567,3961.1,,,,,
231,07/18/24 11:00:00 AM,29.552,9644.5,,,,,
232,07/18/24 12:00:00 PM,39.163,30311.3,,,,,
233,07/18/24 01:00:00 PM,48.421,60622.6,,,,,
234,07/18/24 02:00:00 PM,50.595,24800.2,,,,,
235,07/18/24 03:00:00 PM,48.288,31689.1,,,,,
236,07/18/24 04:00:00 PM,52.873,55111.5,,,,,
237,07/18/24 05:00:00 PM,50.595,38578.0,,,,,
238,07/18/24 06:00:00 PM,43.844,10677.8,,,,,
239,07/18/24 07:00:00 PM,41.692,7577.8,,,,,
240,07/18/24 08:00:00 PM,33.014,1184.0,,,,,
241,07/18/24 09:00:00 PM,29.053,312.2,,,,,
242,07/18/24 10:00:00 PM,26.390,0.0,,,,,
243,07/18/24 11:00:00 PM,24.351,0.0,,,,,
244,07/19/24 12:00:00 AM,22.717,0.0,,,,,
245,07/19/24 01:00:00 AM,21.378,0.0,,,,,
246,07/19/24 02:00:00 AM,20.234,0.0,,,,,
247,07/19/24 03:00:00 AM,19.377,0.0,,,,,
248,07/19/24 04:00:00 AM,18.521,0.0,,,,,
249,07/19/24 05:00:00 AM,17.855,0.0,,,,,
250,07/19/24 06:00:00 AM,17.284,21.5,,,,,
251,07/19/24 07:00:00 AM,17.189,398.3,,,,,
252,07/19/24 08:00:00 AM,17.855,731.9,,,,,
253,07/19/24 09:00:00 AM,18.806,1291.7,,,,,
254,07/19/24 10:00:00 AM,21.282,4477.8,,,,,
255,07/19/24 11:00:00 AM,31.268,9644.5,,,,,
256,07/19/24 12:00:00 PM,29.652,9644.5,,,,,
257,07/19/24 01:00:00 PM,30.054,6200.0,,,,,
258,07/19/24 02:00:00 PM,28.953,6200.0,,,,,
259,07/19/24 03:00:00 PM,27.764,5166.7,,,,,
260,07/19/24 04:00:00 PM,29.452,6544.5,,,,,
261,07/19/24 05:00:00 PM,28.357,4650.0,,,,,
262,07/19/24 06:00:00 PM,30.356,13089.0,,,,,
263,07/19/24 07:00:00 PM,34.796,7577.8,,,,,
264,07/19/24 08:00:00 PM,27.764,775.0,,,,,
265,07/19/24 09:00:00 PM,24.641,258.3,,,,,
266,07/19/24 10:00:00 PM,22.525,0.0,,,,,
267,07/19/24 11:00:00 PM,21.091,0.0,,,,,
268,07/20/24 12:00:00 AM,20.043,0.0,,,,,
269,07/20/24 01:00:00 AM,19.092,0.0,,,,,
270,07/20/24 02:00:00 AM,18.331,0.0,,,,,
271,07/20/24 03:00:00 AM,17.570,0.0,,,,,
272,07/20/24 04:00:00 AM,16.903,0.0,,,,,
273,07/20/24 05:00:00 AM,16.332,0.0,,,,,
274,07/20/24 06:00:00 AM,15.951,10.8,,,,,
275,07/20/24 07:00:00 AM,15.951,333.7,,,,,
276,07/20/24 08:00:00 AM,16.523,635.1,,,,,
277,07/20/24 09:00:00 AM,17.570,1001.0,,,,,
278,07/20/24 10:00:00 AM,19.472,4994.5,,,,,
279,07/20/24 11:00:00 AM,31.880,17911.2,,,,,
280,07/20/24 12:00:00 PM,42.878,37200.2,,,,,
281,07/20/24 01:00:00 PM,49.632,55111.5,,,,,
282,07/20/24 02:00:00 PM,51.436,22044.6,,,,,
283,07/20/24 03:00:00 PM,49.225,21355.7,,,,,
284,07/20/24 04:00:00 PM,54.356,55111.5,,,,,
285,07/20/24 05:00:00 PM,51.154,35822.5,,,,,
286,07/20/24 06:00:00 PM,44.457,10677.8,,,,,
287,07/20/24 07:00:00 PM,36.620,3100.0,,,,,
288,07/20/24 08:00:00 PM,32.188,1636.1,,,,,
289,07/20/24 09:00:00 PM,28.953,150.7,,,,,
290,07/20/24 10:00:00 PM,26.781,0.0,,,,,
291,07/20/24 11:00:00 PM,25.125,0.0,,,,,
292,07/21/24 12:00:00 AM,23.677,0.0,,,,,
293,07/21/24 01:00:00 AM,22.525,0.0,,,,,
294,07/21/24 02:00:00 AM,22.046,0.0,,,,,
295,07/21/24 03:00:00 AM,21.473,0.0,,,,,
296,07/21/24 04:00:00 AM,21.091,0.0,,,,,
297,07/21/24 05:00:00 AM,20.805,0.0,,,,,
298,07/21/24 06:00:00 AM,20.615,0.0,,,,,
299,07/21/24 07:00:00 AM,20.519,1151.7,,,,,
300,07/21/24 08:00:00 AM,21.187,204.5,,,,,
301,07/21/24 09:00:00 AM,20.424,1151.7,,,,,
302,07/21/24 10:00:00 AM,21.091,2497.2,,,,,
303,07/21/24 11:00:00 AM,23.581,12400.1,,,,,
304,07/21/24 12:00:00 PM,23.196,6544.5,,,,,
305,07/21/24 01:00:00 PM,28.953,28933.5,,,,,
306,07/21/24 02:00:00 PM,39.615,44089.2,,,,,
307,07/21/24 03:00:00 PM,31.676,4650.0,,,,,
308,07/21/24 04:00:00 PM,28.754,4477.8,,,,,
309,07/21/24 05:00:00 PM,28.060,11022.3,,,,,
310,07/21/24 06:00:00 PM,24.931,7233.4,,,,,
311,07/21/24 07:00:00 PM,25.028,3961.1,,,,,
312,07/21/24 08:00:00 PM,24.641,2669.5,,,,,
313,07/21/24 09:00:00 PM,22.812,290.6,,,,,
314,07/21/24 10:00:00 PM,21.473,0.0,,,,,
315,07/21/24 11:00:00 PM,20.805,0.0,,,,,
316,07/22/24 12:00:00 AM,19.948,0.0,,,,,
317,07/22/24 01:00:00 AM,19.567,0.0,,,,,
318,07/22/24 02:00:00 AM,19.472,0.0,,,,,
319,07/22/24 03:00:00 AM,19.282,0.0,,,,,
320,07/22/24 04:00:00 AM,19.092,0.0,,,,,
321,07/22/24 05:00:00 AM,18.901,0.0,,,,,
322,07/22/24 06:00:00 AM,18.806,10.8,,,,,
323,07/22/24 07:00:00 AM,18.996,958.0,,,,,
324,07/22/24 08:00:00 AM,18.996,807.3,,,,,
325,07/22/24 09:00:00 AM,19.948,1980.6,,,,,
326,07/22/24 10:00:00 AM,23.869,7577.8,,,,,
327,07/22/24 11:00:00 AM,28.159,8611.2,,,,,
328,07/22/24 12:00:00 PM,37.714,28933.5,,,,,
329,07/22/24 01:00:00 PM,49.090,93689.5,,,,,
330,07/22/24 02:00:00 PM,41.692,30311.3,,,,,
331,07/22/24 03:00:00 PM,40.415,23422.4,,,,,
332,07/22/24 04:00:00 PM,37.824,11711.2,,,,,
333,07/22/24 05:00:00 PM,42.639,39955.8,,,,,
334,07/22/24 06:00:00 PM,34.374,9644.5,,,,,
335,07/22/24 07:00:00 PM,32.704,5166.7,,,,,
336,07/22/24 08:00:00 PM,29.752,2411.1,,,,,
337,07/22/24 09:00:00 PM,26.488,172.2,,,,,
338,07/22/24 10:00:00 PM,24.448,0.0,,,,,
339,07/22/24 11:00:00 PM,22.621,0.0,,,,,
340,07/23/24 12:00:00 AM,21.760,0.0,,,,,
341,07/23/24 01:00:00 AM,20.901,0.0,,,,,
342,07/23/24 02:00:00 AM,20.615,0.0,,,,,
343,07/23/24 03:00:00 AM,20.519,0.0,,,,,
344,07/23/24 04:00:00 AM,20.234,0.0,,,,,
345,07/23/24 05:00:00 AM,20.043,0.0,,,,,
346,07/23/24 06:00:00 AM,19.853,21.5,,,,,
347,07/23/24 07:00:00 AM,19.377,645.8,,,,,
348,07/23/24 08:00:00 AM,19.092,1011.8,,,,,
349,07/23/24 09:00:00 AM,19.472,1808.3,,,,,
350,07/23/24 10:00:00 AM,21.187,5511.1,,,,,
351,07/23/24 11:00:00 AM,32.394,30311.3,,,,,
352,07/23/24 12:00:00 PM,42.998,52355.9,,,,,
353,07/23/24 01:00:00 PM,48.554,68889.3,,,,,
354,07/23/24 02:00:00 PM,49.632,30311.3,,,,,
355,07/23/24 03:00:00 PM,49.632,15844.5,,,,,
356,07/23/24 04:00:00 PM,52.582,46844.8,,,,,
357,07/23/24 05:00:00 PM,41.928,55111.5,,,,,
358,07/23/24 06:00:00 PM,41.692,39955.8,,,,,
359,07/23/24 07:00:00 PM,39.729,15844.5,,,,,
360,07/23/24 08:00:00 PM,30.457,3272.2,,,,,
361,07/23/24 09:00:00 PM,27.468,1636.1,,,,,
362,07/23/24 10:00:00 PM,24.738,0.0,,,,,
363,07/23/24 11:00:00 PM,23.004,0.0,,,,,
364,07/24/24 12:00:00 AM,21.664,0.0,,,,,
365,07/24/24 01:00:00 AM,20.710,0.0,,,,,
366,07/24/24 02:00:00 AM,20.615,0.0,,,,,
367,07/24/24 03:00:00 AM,20.424,0.0,,,,,
368,07/24/24 04:00:00 AM,20.329,0.0,,,,,
369,07/24/24 05:00:00 AM,18.996,0.0,,,,,
370,07/24/24 06:00:00 AM,18.521,32.3,,,,,
371,07/24/24 07:00:00 AM,18.806,3272.2,,,,,
372,07/24/24 08:00:00 AM,19.758,4650.0,,,,,
373,07/24/24 09:00:00 AM,22.046,16533.4,,,,,
374,07/24/24 10:00:00 AM,24.835,15844.5,,,,,
375,07/24/24 11:00:00 AM,38.268,82667.2,,,,,
376,07/24/24 12:00:00 PM,48.554,132267.5,,,,,
377,07/24/24 01:00:00 PM,53.313,165334.4,,,,,
378,07/24/24 02:00:00 PM,51.295,121245.2,,,,,
379,07/24/24 03:00:00 PM,52.582,148801.0,,,,,
380,07/24/24 04:00:00 PM,49.360,121245.2,,,,,
381,07/24/24 05:00:00 PM,43.238,15844.5,,,,,
382,07/24/24 06:00:00 PM,41.810,11711.2,,,,,
383,07/24/24 07:00:00 PM,38.938,14466.8,,,,,
384,07/24/24 08:00:00 PM,29.853,5166.7,,,,,
385,07/24/24 09:00:00 PM,26.000,839.6,,,,,
386,07/24/24 10:00:00 PM,23.484,0.0,,,,,
387,07/24/24 11:00:00 PM,21.855,0.0,,,,,
388,07/25/24 12:00:00 AM,20.424,0.0,,,,,
389,07/25/24 01:00:00 AM,19.472,0.0,,,,,
390,07/25/24 02:00:00 AM,18.521,0.0,,,,,
391,07/25/24 03:00:00 AM,17.760,0.0,,,,,
392,07/25/24 04:00:00 AM,16.999,0.0,,,,,
393,07/25/24 05:00:00 AM,16.523,0.0,,,,,
394,07/25/24 06:00:00 AM,15.664,32.3,,,,,
395,07/25/24 07:00:00 AM,15.569,1248.6,,,,,
396,07/25/24 08:00:00 AM,16.427,2755.6,,,,,
397,07/25/24 09:00:00 AM,17.665,4477.8,,,,,
398,07/25/24 10:00:00 AM,20.043,14466.8,,,,,
399,07/25/24 11:00:00 AM,34.691,66133.8,,,,,
400,07/25/24 12:00:00 PM,40.761,115734.1,,,,,
401,07/25/24 01:00:00 PM,49.225,154312.1,,,,,
402,07/25/24 02:00:00 PM,49.496,143289.8,,,,,
403,07/25/24 03:00:00 PM,52.437,137778.7,,,,,
404,07/25/24 04:00:00 PM,49.360,115734.1,,,,,
405,07/25/24 05:00:00 PM,46.850,57867.0,,,,,
406,07/25/24 06:00:00 PM,43.723,41333.6,,,,,
407,07/25/24 07:00:00 PM,40.761,12400.1,,,,,
408,07/25/24 08:00:00 PM,33.326,7233.4,,,,,
409,07/25/24 09:00:00 PM,29.352,592.0,,,,,
410,07/25/24 10:00:00 PM,27.173,0.0,,,,,
411,07/25/24 11:00:00 PM,25.028,0.0,,,,,
412,07/26/24 12:00:00 AM,23.484,0.0,,,,,
413,07/26/24 01:00:00 AM,22.333,0.0,,,,,
414,07/26/24 02:00:00 AM,21.187,0.0,,,,,
415,07/26/24 03:00:00 AM,20.138,0.0,,,,,
416,07/26/24 04:00:00 AM,19.187,0.0,,,,,
417,07/26/24 05:00:00 AM,18.426,0.0,,,,,
418,07/26/24 06:00:00 AM,17.855,32.3,,,,,
419,07/26/24 07:00:00 AM,17.760,1345.5,,,,,
420,07/26/24 08:00:00 AM,18.521,2755.6,,,,,
421,07/26/24 09:00:00 AM,19.758,4305.6,,,,,
422,07/26/24 10:00:00 AM,21.760,12400.1,,,,,
423,07/26/24 11:00:00 AM,34.903,63378.2,,,,,
424,07/26/24 12:00:00 PM,46.722,115734.1,,,,,
425,07/26/24 01:00:00 PM,52.149,154312.1,,,,,
426,07/26/24 02:00:00 PM,52.149,148801.0,,,,,
427,07/26/24 03:00:00 PM,54.659,137778.7,,,,,
428,07/26/24 04:00:00 PM,50.595,115734.1,,,,,
429,07/26/24 05:00:00 PM,48.288,60622.6,,,,,
430,07/26/24 06:00:00 PM,45.452,39955.8,,,,,
431,07/26/24 07:00:00 PM,41.341,11022.3,,,,,
432,07/26/24 08:00:00 PM,32.497,3100.0,,,,,
433,07/26/24 09:00:00 PM,28.754,592.0,,,,,
434,07/26/24 10:00:00 PM,26.292,0.0,,,,,
435,07/26/24 11:00:00 PM,24.738,0.0,,,,,
436,07/27/24 12:00:00 AM,23.484,0.0,,,,,
